original_index,TransactionAmount,TransactionType,Location,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,transaction_hour,transaction_day,transaction_month,days_since_last_transaction,Channel_ATM,Channel_Branch,Channel_Online,CustomerOccupation_Doctor,CustomerOccupation_Engineer,CustomerOccupation_Retired,CustomerOccupation_Student,amount_balance_ratio,night_transaction,high_login_attempts,quick_transactions,repeat_transactions,anomaly_score,is_fraud
0,0.0623338527821065,1,0.0253857640617222,-0.9280732985706004,-1.23769514780944,0.0,-0.9057734257513156,0.5173644598474172,-0.9588421456803584,1.5674457671172797,-1.4942639831873945,1,0,0,0,0,0,1,0.7287057636745348,0,0,1.202888862200593,0,0.07533207975974182,0
1,-0.3646835945855104,1,0.0189148830263812,1.2029752700063172,0.6674351689876954,0.0,-0.7458190388310298,-0.8430873723953274,0.3632675802440343,0.1250682725503068,0.0036200822666885,1,0,0,0,0,1,0,-0.1011753620006493,0,0,-0.3732173590201845,0,0.09639530132132651,0
2,-0.5757631313594279,1,0.0214036834245893,0.698253240606521,-1.1068083321516216,0.0,1.501938035195691,0.5173644598474172,-0.9588421456803584,-1.3173092220166658,1.341353021225681,1,0,0,1,0,0,0,-0.3965419392655084,0,0,-0.4142614770078943,0,0.08999719950880941,0
3,-0.3328138845601491,1,0.0214036834245893,-1.2645546515037978,-1.354038983949723,0.0,-1.2318064814455396,0.5173644598474172,1.0243224432062308,-1.0288337231032711,0.9833681502366548,0,0,1,0,0,0,1,2.3396365582476406,0,0,0.4254827036661627,0,0.06850236398392212,0
4,0.7254560454670457,1,0.0273768043802887,-1.4327953279703969,2.0344752436360216,0.0,-0.9496960495920094,-0.8430873723953274,1.0243224432062308,1.5674457671172797,-1.5884705281845066,0,0,1,0,0,0,1,2.103546658003782,0,0,-0.048517975857011,0,0.051253888255241575,0
5,0.3777920371558652,0,0.0253857640617222,-0.1429501417264727,-1.2958670658795817,0.0,-0.5754812220178597,-0.8430873723953274,1.0243224432062308,0.9904947692904904,-0.9290247132047216,0,0,1,0,1,0,0,0.4956758043824505,0,0,2.303049618395538,0,0.05066662393039156,0
6,-0.1461789959360771,1,0.0253857640617222,0.3617718876733235,-0.2633155201345692,0.0,2.391588979829574,-0.8430873723953274,-0.9588421456803584,-1.6057847209300602,1.473242184221638,1,0,0,1,0,0,0,-0.3232591310828034,0,0,-0.0954670228074985,0,0.06875417487925167,0
7,-0.5728908852018211,1,0.0248880039820806,-1.2084744260149316,1.4382130834170708,0.0,-1.0676440460425816,0.5173644598474172,-0.9588421456803584,1.5674457671172797,-1.6261531461833516,0,0,1,0,0,0,1,-0.2610510643252959,0,0,-0.4920355638442052,0,0.07698552397138392,0
8,0.3761420234057507,1,0.0233947237431558,0.922574142561986,-0.9613785369762676,0.0,1.4033567706811585,0.5173644598474172,1.0243224432062308,1.2789702682038848,-1.3246922021925926,1,0,0,1,0,0,0,-0.1659514938789678,0,0,1.1225208732185985,0,0.07045624552404756,0
9,0.7052280991230483,1,0.026879044300647,0.5860927896287885,-0.1178857249592154,0.0,0.4824277874772231,1.8778162920901615,-0.9588421456803584,-0.4518827252764822,0.4840734617519605,1,0,0,0,0,1,0,0.0797283066989045,0,0,0.5444154974518879,0,0.0804280901936868,0
10,-0.6077245088153512,1,0.0238924838227974,-1.096313975037199,1.481842021969677,0.0,-0.9713750364623652,0.5173644598474172,1.6853773061684272,-0.1634072263630877,0.1166679362632231,1,0,0,0,0,0,1,-0.3729656059005029,0,0,-0.5063572660447547,0,0.09443701482262445,0
11,1.6900113056497692,1,0.0253857640617222,-1.2645546515037978,-0.0451708273715385,0.0,-0.932521488632371,-0.8430873723953274,-0.9588421456803584,-1.6057847209300602,1.737020510213552,0,0,1,0,0,0,1,3.6964692159794494,0,0,1.2493266871145778,0,0.06713710722134109,0
12,-0.2238824212423992,1,0.0253857640617222,-0.0868699162376065,-0.8014057622833786,0.0,-0.9594816146731482,1.8778162920901615,0.3632675802440343,-1.3173092220166658,1.4544008752222155,0,0,1,1,0,0,0,0.3598795734154303,0,0,0.0331235631933788,0,0.05409676868837843,0
