TransactionAmount,TransactionType,Location,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,transaction_hour,transaction_day,transaction_month,days_since_last_transaction,Channel_ATM,Channel_Branch,Channel_Online,CustomerOccupation_Doctor,CustomerOccupation_Engineer,CustomerOccupation_Retired,CustomerOccupation_Student,amount_balance_ratio,night_transaction,high_login_attempts,quick_transactions,repeat_transactions
-0.5697741925627158,1,0.0223992035838725,0.6421730151176548,-1.3394960044321877,0.0,0.8506435271112911,0.5173644598474172,0.3632675802440343,-1.0288337231032711,0.9927888047363661,1,0,0,0,1,0,0,-0.3912119940251595,0,0,-0.3409516516594549,0
0.39499495829131925,1,0.0253857640617222,0.4178521131621898,-1.0922653526340862,0.0,0.03692396854695461,-0.8430873723953274,0.3632675802440343,-1.0288337231032711,0.9927888047363661,0,1,0,1,0,0,0,0.09052429379915809,0,0,1.4794327186861191,0
0.7385033764170257,1,0.0238924838227974,1.0347345935397185,-0.6268900080729539,0.0,0.7079224656406871,0.5173644598474172,-0.29778728271816207,1.5674457671172795,-1.5036846376871058,1,0,0,0,0,1,0,0.035809913392535954,0,0,1.0574499003849789,0
-0.6199162770800868,1,0.0233947237431558,1.988098426850445,-0.8741206598710555,0.0,0.12226789293475612,0.5173644598474172,1.0243224432062308,-0.7403582241898767,0.7855344057427194,0,0,1,0,0,1,0,-0.40558537793717414,0,0,-0.5053190310282824,0
3.997586090995203,1,0.0273768043802887,-1.4327953279703967,-1.0195504550464094,0.0,1.2444141549807504,0.5173644598474172,-0.29778728271816207,0.41354377146370136,-0.31668217072349275,0,0,1,0,0,0,1,0.7794909193257656,0,0,7.629986642985421,0
2.540746172884774,1,0.0248880039820806,-1.096313975037199,0.08571598828627996,0.0,-1.1792608074354352,1.8778162920901618,1.6853773061684272,0.12506827255030684,-0.1471103897286909,0,0,1,0,0,0,1,16.536937222290334,0,0,1.726186790190413,0
0.30702478076206197,1,0.0248880039820806,0.7543334660953873,1.3945841448644647,0.0,-0.15806171937267674,0.5173644598474172,-0.9588421456803585,-0.1634072263630877,0.286239717258025,0,0,1,0,0,1,0,0.125243745345182,0,0,-0.12746106382880196,0
0.15690408531182212,1,0.0223992035838725,0.5300125641399223,-1.23769514780944,0.0,0.46432576956603044,-0.8430873723953274,0.3632675802440343,-0.1634072263630877,0.26739840825860256,1,0,0,0,0,1,0,-0.11835978159745147,0,0,1.4388840480632836,0
0.3879060103278638,1,0.0154305624688899,-0.199030367215339,-0.8595776803535201,0.0,-0.23512751559784373,0.5173644598474172,1.6853773061684272,0.41354377146370136,-0.4768332972185834,0,0,1,0,1,0,0,0.21339910228449294,0,0,0.9548534821141518,0
0.2645216487915177,1,0.0258835241413638,1.819857750383846,0.013001090698603035,0.0,0.45632357900881704,0.5173644598474172,-0.9588421456803585,-0.1634072263630877,0.15435055426206798,0,1,0,0,0,1,0,-0.07699948962403565,0,0,0.14185240654916315,0
